pid;type;title;authors;mentors;source_title;published_date;url;doi;isbn;issn;eissn
mef:3872;thesis;Sexual dysfunction and depression in patients with multiple sclerosis in Croatia;Pašic, Hanna;Petravic, Damir;;16.7.2021;https://urn.nsk.hr/urn:nbn:hr:105:421244;;;;
mefst:554;thesis;Salvage radiotherapy of prostate cancer : retrospective analysis of 10 years’ experience in the Department of oncology and radiotherapy University hospital of Split;Radosevic, Sebastian;Omrcen, Tomislav;;10.7.1905;https://urn.nsk.hr/urn:nbn:hr:171:390281;;;;
mef:5019;thesis;Primary adrenal insufficiency;Phillip, Shir;Dumic Kubat, Katja;;11.10.2021;https://urn.nsk.hr/urn:nbn:hr:105:444496;;;;
mefst:2120;thesis;The influence of sexual behaviour, attitude and awareness of sexual health on self-esteem in medical students;Matulic, Ivona;Kozina, Slavica;;12.9.2023;https://urn.nsk.hr/urn:nbn:hr:171:778584;;;;
mef:1717;thesis;Latent autoimmune diabetes in adults (LADA);Gutlic, Allan;Pavlic-Renar, Ivana;;14.7.2017;https://urn.nsk.hr/urn:nbn:hr:105:496978;;;;
mefst:988;thesis;Comparison of the frequency and intensity of the systemic inflammatory response in patients undergoing cardiac muscle revascularization surgery with and without the use of extracorporeal blood flow;Chacon Arenas, Diego Fernando;Lojpur, Mihajlo;;23.7.2020;https://urn.nsk.hr/urn:nbn:hr:171:330241;;;;
mef:1715;thesis;Diagnosis and treatment of bulimia;Zoric, Ana Blaženka;Begic, Dražen;;14.7.2017;https://urn.nsk.hr/urn:nbn:hr:105:448893;;;;
mefst:558;thesis;Incidence of nasal polyps at the Department of ear, nose and throat, head and neck surgery, University Hospital of Split between 2013-2018 : a retrospective study;Milin, Marija;Poljak, Kolja;;10.7.1905;https://urn.nsk.hr/urn:nbn:hr:171:901956;;;;
mefst:823;thesis;Influence of exercise on selected cardiovascular variables in medical students;Rudolph, Victoria;Valic, Zoran;;18.7.2019;https://urn.nsk.hr/urn:nbn:hr:171:623894;;;;
mefst:1453;thesis;Nutritional habits and attitudes in fitness center users;Bergesen, Magnus Naustervik;Božic, Joško;;15.7.2022;https://urn.nsk.hr/urn:nbn:hr:171:153374;;;;
mefos:715;thesis;Varijabilnost koncentracije imunosupresivnih lijekova u bolesnika s bubrežnim presatkom;Damjanovic, Darija;Zibar, Lada;;26.6.2018;https://urn.nsk.hr/urn:nbn:hr:152:527865;;;;
mefst:2105;thesis;Differences in severity of bronchiolitis among newborns and infants younger than one year of age before and after the lockdown due to COVID-19 pandemic;Sporkert, Nora Muriel;Dahlem, Peter Georg;;5.9.2023;https://urn.nsk.hr/urn:nbn:hr:171:008215;;;;
mefst:537;thesis;Classification of stillbirths in University Hospital of Split by relevant condition at death (ReCoDe) system;Er, Kadir;Zekic Tomaš, Sandra;;10.7.1905;https://urn.nsk.hr/urn:nbn:hr:171:982087;;;;
mef:395;thesis;Polycystic ovary syndrome in adolescence;Puževski, Tomislav;Škrgatic, Lana;;15.7.2015;https://urn.nsk.hr/urn:nbn:hr:105:696058;;;;
mef:5008;thesis;GSTP1 and prostate cancer;Mulabdic, Denis;Ulamec, Monika;;31.1.2022;https://urn.nsk.hr/urn:nbn:hr:105:152462;;;;
mef:2470;thesis;Cognitive effects of hormone replacement therapy in menopausal women;Kovacic, Žan;Osmanovic Barilar, Jelena;;12.7.2019;https://urn.nsk.hr/urn:nbn:hr:105:874295;;;;
mef:3738;thesis;Day-2 serum progesterone level and IVF/ICSI outcome;Micic, Ana;Škrgatic, Lana;;17.7.2020;https://urn.nsk.hr/urn:nbn:hr:105:406211;;;;
mefst:2113;thesis;The significance of calcium metabolism in uric acid stone formers;Königsberger, Sebastian Tobias;Strohmaier, Walter Ludwig;;5.9.2023;https://urn.nsk.hr/urn:nbn:hr:171:376674;;;;
medri:2600;thesis;PERSONALIZED MEDICINE AND NEW TECHNOLOGIES FOR THE PATIENT WITH EPIDERMOLYSIS BULLOSA (EB);Sedlic, Martina;"Maricic, Sven; Vasiljev Marchesi, Vanja";;13.7.2018;https://urn.nsk.hr/urn:nbn:hr:184:951465;;;;
mefst:1471;thesis;Evaluation of cardiac device implantation in the elderly : Impact of COVID-19;Reinhardt, Laurenz;Brachmann, Johannes;;19.7.2022;https://urn.nsk.hr/urn:nbn:hr:171:592115;;;;
mefst:476;thesis;The effect of physical therapy treatment on shoulder pain, mobility and functional index in the working population;Dirkwinkel, Johanna Sophie;Aljinovic, Jure;;24.7.2017;https://urn.nsk.hr/urn:nbn:hr:171:764395;;;;
mef:5028;thesis;Empathy, Medicine and Society;Twito, Sapir Eve;Braš, Marijana;;15.7.2021;https://urn.nsk.hr/urn:nbn:hr:105:599687;;;;
mef:353;thesis;Clinical characteristics and treatment outcome of patients with adrenocortical carcinoma;Mugisha, Aude;Kaštelan, Darko;;15.7.2014;https://urn.nsk.hr/urn:nbn:hr:105:669084;;;;
medri:7816;thesis;Cystic Fibrosis: Treatment with CFTR Modulators;Westphal, Anna Philine;Banac, Srdan;;15.7.1905;https://urn.nsk.hr/urn:nbn:hr:184:380526;;;;
mef:6646;thesis;Retrospective analysis of patients with thrombotic thrombocytopenic purpura treated at the University Hospital Center Zagreb;Pour Modjib, Kiarash;Pulanic, Dražen;;13.7.2023;https://urn.nsk.hr/urn:nbn:hr:105:777383;;;;
mef:1369;thesis;Fast track rehabilitaion after knee arthroplasty;Morency, Adrian Charles;Delimar, Domagoj;;15.7.2016;https://urn.nsk.hr/urn:nbn:hr:105:773938;;;;
mef:5029;thesis;Secondary Parkinsonism;Wieland, Kilian Felix;Telarovic, Srdana;;16.11.2021;https://urn.nsk.hr/urn:nbn:hr:105:136336;;;;
mefst:1172;thesis;Eosinophils in pathohistological reports of pediatric gastrointestinal biopsies at the University hospital of Split : a three year retrospective study;Schnell, Sophie;Zekic Tomaš, Sandra;;27.7.2021;https://urn.nsk.hr/urn:nbn:hr:171:471093;;;;
mef:1729;thesis;Substitution of doxorubicin with etoposide in the treatment of lymphomas;Terry, Meredith Olivia;Aurer, Igor;;14.7.2017;https://urn.nsk.hr/urn:nbn:hr:105:657164;;;;
mefst:535;thesis;Difference in perinatal outcome of pregnancies with late preterm birth and early term birth;Bothner, Pauline Malaika;Vulic, Marko;;10.7.1905;https://urn.nsk.hr/urn:nbn:hr:171:604576;;;;
mefst:1138;thesis;Clinical features and outcomes of SARS-CoV-2 infection in residents of elderly nursing homes who were hospitalized at the Clinic of Infectious Diseases, University Hospital of Split, in the period from 1 March to 31 May, 2020;Ogaard, Berit Marie;Ivic, Ivo;;19.7.2021;https://urn.nsk.hr/urn:nbn:hr:171:490929;;;;
mef:2511;thesis;Long term results of heart transplantation in University hospital Dubrava;Rupert, Eva;Rudež, Igor;;12.7.2019;https://urn.nsk.hr/urn:nbn:hr:105:604419;;;;
mef:394;thesis;Diagnostic difficulty in family medicine in relation to patient safety;Perraut, Laure;Ožvacic Adžic, Zlata;;15.7.2015;https://urn.nsk.hr/urn:nbn:hr:105:616483;;;;
mef:3857;thesis;Clinical, functional and biomarkers criteria for the diagnosis of asthma-chronic obstructive pulmonary diseases overlap (ACO);Ben Porath, Lilach Yael;Popovic-Grle, Sanja;;16.7.2021;https://urn.nsk.hr/urn:nbn:hr:105:231721;;;;
mef:2098;thesis;Differences of treatment of forearm fractures in children and adult population;Zore, Lenart Andrej;Dobric, Ivan;;13.7.2018;https://urn.nsk.hr/urn:nbn:hr:105:321378;;;;
