pid;type;title;authors;mentors;source_title;published_date;url;doi;isbn;issn;eissn
efzg:11564;thesis;The importance of ATA carnet in the international trade;Medic, Viktorija;Naletina, Dora;;12.9.2023;https://urn.nsk.hr/urn:nbn:hr:148:030229;;;;
efzg:8256;thesis;Neuroplasticity as a transformational tool for improving managerial approaches;Tomlinson, Louis Somerset;Omazic, Mislav Ante;;28.9.2021;https://urn.nsk.hr/urn:nbn:hr:148:977756;;;;
efzg:9517;thesis;The Impact of Chaebol on the South Korean Economy and Prospects for Future Development;Gjoni, Fran;Sekur, Tomislav;;28.9.2022;https://urn.nsk.hr/urn:nbn:hr:148:234809;;;;
efzg:5010;thesis;The Influence of Big Data on Retail Activities and Retail Performance;Brkanic, Lovro;Petljak, Kristina;;25.6.2020;https://urn.nsk.hr/urn:nbn:hr:148:088433;;;;
ffri:2454;thesis;Errors in Machine Translation from Croatian to English: a Corpus-based Approach;Zagorec, Dario;Borucinsky, Mirjana;;14.9.2020;https://urn.nsk.hr/urn:nbn:hr:186:395434;;;;
efzg:5862;thesis;Utilization of business intelligence tools and advanced analytics in systemic risk supervision;Brozovic, Vedran;Spremic, Mario;;24.9.2020;https://urn.nsk.hr/urn:nbn:hr:148:134068;;;;
ufzg:1509;thesis;Recognizing and Overcoming Language Impairment of Young English Learners;Maltar, Lucija;Cindric, Ivana;;11.7.2019;https://urn.nsk.hr/urn:nbn:hr:147:991927;;;;
efzg:9543;thesis;The impact of personalized user experience on customer satisfaction and loyalty in eCommerce;Božic-Kudric, Nikolina;Mandic, Miroslav;;29.9.2022;https://urn.nsk.hr/urn:nbn:hr:148:388297;;;;
infri:942;thesis;Blockchain attacks;Kos, Paolo;Miletic, Vedran;;27.9.2022;https://urn.nsk.hr/urn:nbn:hr:195:997383;;;;
fpzg:996;thesis;The Evolution of African American Discourse of Emancipation from Blues to Hip Hop;Mance, Vilim;Petkovic, Krešimir;;25.9.2019;https://urn.nsk.hr/urn:nbn:hr:114:722626;;;;
fpzg:2101;thesis;Foreign policy priorities of Montenegro with special reference to obstacles to accession to the European Union;Vukotic, Boris;Popovic, Petar;;21.9.2023;https://urn.nsk.hr/urn:nbn:hr:114:817718;;;;
unizd:4404;thesis;Pulp Fiction and Self-reflexivity;Tkalcec, Lara;Petkovic, Rajko;;11.12.2019;https://urn.nsk.hr/urn:nbn:hr:162:193414;;;;
fpzg:1917;thesis;European Union policy for civil protection and humanitarian aid in Iraq after 2003;Barznje, Saad Nagmadin Kaka Mostafa;Bacic Selanec, Nika;;4.7.2023;https://urn.nsk.hr/urn:nbn:hr:114:077348;;;;
ffzg:4095;thesis;Pedagogical Dimensions of Using Stories in Enhancing Young Learners' English Learning Motivation;Matoš, Marija;"Geld, Renata; Slunjski, Edita";;17.5.2021;https://urn.nsk.hr/urn:nbn:hr:131:464362;;;;
mev:1678;thesis;Tourism in Manitoba, Canada - Present Situation and Future Opportunities;Nedeljko, Maja;Mišcancuk, Marija;;14.9.2023;https://urn.nsk.hr/urn:nbn:hr:110:190958;;;;
ffzg:7446;thesis;Using picturebooks in early EFL;Rak, Tea;Letica Krevelj, Stela;;15.2.2023;https://urn.nsk.hr/urn:nbn:hr:131:993064;;;;
foi:6285;thesis;Marketing experience in gaming industry;Šaric, Ante;Gregurec, Iva;;21.9.2020;https://urn.nsk.hr/urn:nbn:hr:211:073392;;;;
fpzg:2069;thesis;Challenges of the Schengen Area Enlargement;Radovic, Lucia;Vidacak, Igor;;19.9.2023;https://urn.nsk.hr/urn:nbn:hr:114:132282;;;;
infri:1055;thesis;Relation Extraction with Deep Learning Methods;Poleksic, Andrija;Martincic-Ipšic, Sanda;;18.7.2023;https://urn.nsk.hr/urn:nbn:hr:195:836831;;;;
efzg:6218;thesis;The influence of color in retail stores on customer purchasing in the municipality of Grude;Kolobaric, Luka;Renko, Sanda;;29.9.2020;https://urn.nsk.hr/urn:nbn:hr:148:531097;;;;
ffzg:1115;thesis;Film kao nastavno sredstvo za ucenje i poucavanje o kulturnim razlikama. Didaktizacija filma Almanya. Willkommen in Deutschland;Jurkovic, Miroslava;Bošnjak, Zvonimir;;5.11.2019;https://urn.nsk.hr/urn:nbn:hr:131:162001;;;;
aukos:1066;thesis;UX i UI nadzorne ploce u Wordpressu;Šeremet, Stella;Podmanicki, Toni;;27.9.2022;https://urn.nsk.hr/urn:nbn:hr:251:928351;;;;
ffzg:5678;thesis;Gender Bias in English Language Textbooks;Sedmak, Stella;"Grubišic, Marina; ";;27.1.2022;https://urn.nsk.hr/urn:nbn:hr:131:449876;;;;
ffos:160;thesis;Beliefs and Attitudes of Primary School Learners toward Error Treatment in Foreign Language Learner Talk;Utvic, Tanja;Gradecak Erdeljic, Tanja;;5.11.2015;https://urn.nsk.hr/urn:nbn:hr:142:938635;;;;
unipu:4040;thesis;Triple Helix;Tomšic, Veronika;Šugar, Violeta;;9.5.2019;https://urn.nsk.hr/urn:nbn:hr:137:788811;;;;
efzg:5608;thesis;Emergence of Esports and unique digital products;Milosavljevic, Igor;Spremic, Mario;;22.9.2020;https://urn.nsk.hr/urn:nbn:hr:148:101349;;;;
ufzg:1902;thesis;Pre-service EFL teachers and Emotional Intelligence;Madaric, Ena;Mikulec, Alenka;;10.2.2020;https://urn.nsk.hr/urn:nbn:hr:147:368257;;;;
ufzg:2450;thesis;Pre-service EFL Teachers and Multiple Intelligences;Sviben, Matea;Mikulec, Alenka;;10.9.2020;https://urn.nsk.hr/urn:nbn:hr:147:542049;;;;
infri:937;thesis;Monolith to serverless microservice application evolution;Novokmet, Ana;Miletic, Vedran;;27.9.2022;https://urn.nsk.hr/urn:nbn:hr:195:991201;;;;
efzg:8817;thesis;CUSTOMERS ATTITUDES TOWARD THE USE OF SHARING ECONOMY OF PUBLIC TRANSPORT SERVICES;Kovac, Barbara;Naletina, Dora;;2022;https://urn.nsk.hr/urn:nbn:hr:148:452762;;;;
