pid;type;title;authors;mentors;source_title;published_date;url;doi;isbn;issn;eissn
fsb:7020;thesis;Cost and benefits of shifting towards low temperature district heating;Kirasic, Edi;Pukšec, Tomislav;;14.5.2021;https://urn.nsk.hr/urn:nbn:hr:235:225497;;;;
fsb:4728;thesis;Model motora s unutarnjim izgaranjem za ispitnu stanicu;Mustac, Jurica;Kozarac, Darko;;6.12.2018;https://urn.nsk.hr/urn:nbn:hr:235:531126;;;;
fsb:4727;thesis;Sinteza i simulacija strategije upravljanja umjereno-hibridiziranim vozilom paralelne arhitekture P2;Miletic, Marin;Deur, Joško;;6.12.2018;https://urn.nsk.hr/urn:nbn:hr:235:072264;;;;
fsb:5083;thesis;Analiza pozdanosti uredaja za servisnu inspekciju vanjskog zavara vakuumske posude;Delaš, Josipa;Škec, Stanko;;11.7.2019;https://urn.nsk.hr/urn:nbn:hr:235:548636;;;;
riteh:4299;thesis;Predator-prey simulation using neuroevolution for agent development;Vargic, Anamaria;Mauša, Goran;;21.11.2023;https://urn.nsk.hr/urn:nbn:hr:190:822305;;;;
fpz:2991;thesis;Optimizacija odvijanja postojecih prometnih tokova na raskrižju magistralni put M17 - magistralni put M17.3 u gradu Mostaru;Drljo, Ana;Luburic, Grgo;;4.7.2023;https://urn.nsk.hr/urn:nbn:hr:119:117326;;;;
fkit:239;thesis;The role of acetic acid in degradation of polymers for photovoltaic modules;Mihaljevic, Antonia;Govorcin Bajsic, Emi;;25.9.2015;https://urn.nsk.hr/urn:nbn:hr:149:493437;;;;
etfos:4534;thesis;Upravljacki sustav za autonomne robote s bežicnom i CAN komunikacijom;Shukla, Adamya;Job, Josip;;26.9.2023;https://urn.nsk.hr/urn:nbn:hr:200:520878;;;;
fsb:6658;thesis;Aerodynamic coefficients estimation of a general aviation airplane from flight test data;Haber-Zelanto, David;Vrdoljak, Milan;;21.1.2021;https://urn.nsk.hr/urn:nbn:hr:235:623552;;;;
fsb:5102;thesis;Numericka simulacija strujanja i prijelaza topline sustava hladenja motora kamiona Ford Otosan;Ilicic, Dominik;Jasak, Hrvoje;;2019-07;https://urn.nsk.hr/urn:nbn:hr:235:802850;;;;
fsb:6487;thesis;Bayesian Networks in Lane Change Maneuver Prediction;Grabic, Ivan;Curkovic, Petar;;4.12.2020;https://urn.nsk.hr/urn:nbn:hr:235:829533;;;;
fsb:9791;thesis;Application of imitation learning in human-robot interactions;Kneževic, Tara;"Šuligoj, Filip; ";;7.12.2023;https://urn.nsk.hr/urn:nbn:hr:235:151455;;;;
rgn:2428;thesis;Optimal conditions for CO2 permanent storage in a producing gas reservoir;Kružic, Valentina;"Vulin, Domagoj; ";;15.12.2023;https://urn.nsk.hr/urn:nbn:hr:169:500552;;;;
rgn:2185;thesis;Overview of hydrogen production by methane pyrolysis process and possible applications of the solid carbon products;Kesic, Sara;"Novak Mavar, Karolina; ";;16.12.2022;https://urn.nsk.hr/urn:nbn:hr:169:023370;;;;
fsb:6668;thesis;Blue energy potential assessment and their impact on the electricity system of the Republic of Croatia;Leopoldovic, Lea;"Duic, Neven; ";;22.1.2021;https://urn.nsk.hr/urn:nbn:hr:235:743065;;;;
fsb:4641;thesis;Validacija metode uronjene granicne površine u numerickoj mehanici fluida;Anderluh, Robert;Jasak, Hrvoje;;29.3.2019;https://urn.nsk.hr/urn:nbn:hr:235:245172;;;;
fkit:333;thesis;Preparation of bioactive composite material for bone tissue repair;Šandrk, Nikolina;Ivankovic, Marica;;30.9.2016;https://urn.nsk.hr/urn:nbn:hr:149:587254;;;;
fsb:2891;thesis;Razvoj rješenja za rukovanje i oblikovanje žicanih snopova;Mocibov, Petra;Bojcetic, Nenad;;22.5.2015;https://urn.nsk.hr/urn:nbn:hr:235:342475;;;;
fkit:1712;thesis;Implementation of the BAT concept in the cement industry;Babic, Ivana;Barbir, Damir;;26.9.2022;https://urn.nsk.hr/urn:nbn:hr:149:577357;;;;
fsb:3800;thesis;Digitalizacija Volkswagen sustava proizvodnje;Šaric-Ormuž, Ira;Štefanic, Nedeljko;;30.3.2017;https://urn.nsk.hr/urn:nbn:hr:235:940353;;;;
rgn:1089;thesis;Biological water treatment - simultaneous removal of thiosalts and nitrogen compounds;Srebrenikovic, Tarik;Grbeš, Anamarija;;20.2.2020;https://urn.nsk.hr/urn:nbn:hr:169:785809;;;;
fpz:141;thesis;Measures for Improving Fuel Efficiency by Implementing Electric Taxi System;Švragulja, Dino;Domitrovic, Anita;;24.9.2015;https://urn.nsk.hr/urn:nbn:hr:119:697744;;;;
fsb:4656;thesis;Numericka analiza tockastih zavara u tankostijenim konstrukcijama izloženim mehanickom šoku i vibracijskim opterecenjima;Vrgoc, Ana;Tonkovic, Zdenko;;29.3.2019;https://urn.nsk.hr/urn:nbn:hr:235:426661;;;;
rgn:2086;thesis;Basic properties of the dimension stone used in the construction of the Zagreb Cathedral;Katalinic, Franjo;"Maricic, Ana; ; ";;15.7.2022;https://urn.nsk.hr/urn:nbn:hr:169:560912;;;;
